House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Turkey Gardens,Alexander,Macdonald,21,Head,Married,Male,Sports development officer,None,None
1,Turkey Gardens,Yvonne,Macdonald,19,Wife,Married,Female,University Student,None,None
2,Turkey Gardens,Louise,Taylor,38,Head,Divorced,Female,Mining engineer,None,Christian
2,Turkey Gardens,Philip,Harding,55,Visitor,Single,Male,Quarry manager,None,Christian
3,Turkey Gardens,Rachael,Evans,78,Head,Widowed,Female,Retired Freight forwarder,None,Christian
3,Turkey Gardens,Hugh,Evans,39,Son,Single,Male,"Pilot, airline",None,Christian
3,Turkey Gardens,Graham,Evans,38,Son,Divorced,Male,"Scientist, research (medical)",None,Christian
3,Turkey Gardens,Alexandra,Evans,38,Daughter,Single,Female,Administrator,None,None
3,Turkey Gardens,Holly,Evans,36,Daughter,Single,Female,Psychiatric nurse,None,Christian
4,Turkey Gardens,Martyn,Nicholson,34,Head,Single,Male,Hospital doctor,None,None
4,Turkey Gardens,Katie,Pearson,32,Partner,Single,Female,Mental health nurse,None,None
4,Turkey Gardens,Maureen,Nicholson,9,Daughter,NA,Female,Student,None,NA
5,Turkey Gardens,Lucy,Williams-Evans,50,Head,Married,Female,"Designer, jewellery",None,Methodist
5,Turkey Gardens,Sean,Williams-Evans,54,Husband,Married,Male,Housing manager/officer,None,Methodist
5,Turkey Gardens,Christian,Williams-Evans,18,Son,Single,Male,Student,None,Methodist
5,Turkey Gardens,Georgina,Williams-Evans,17,Daughter,NA,Female,Student,None,NA
6,Turkey Gardens,Ben,Thomas,44,Head,Married,Male,"Designer, multimedia",None,Methodist
6,Turkey Gardens,Jill,Thomas,42,Wife,Married,Female,Multimedia programmer,None,Catholic
6,Turkey Gardens,Julia,Thomas,23,Daughter,Single,Female,Sport and exercise psychologist,None,Methodist
6,Turkey Gardens,Gerard,Thomas,20,Son,Single,Male,University Student,None,Methodist
6,Turkey Gardens,Hilary,Thomas,3,Daughter,NA,Female,Child,None,NA
7,Turkey Gardens,Bryan,Gibbs,58,Head,Married,Male,IT consultant,None,None
7,Turkey Gardens,Bethan,Gibbs,56,Wife,Married,Female,Mechanical engineer,None,None
7,Turkey Gardens,Rebecca,Gibbs,34,Daughter,Single,Female,Land,None,None
7,Turkey Gardens,Rachael,Gibbs,32,Daughter,Divorced,Female,Personal assistant,None,None
8,Turkey Gardens,Jordan,Schofield,94,Head,Widowed,Male,Retired Intelligence analyst,None,Christian
9,Turkey Gardens,Naomi,Martin,36,Head,Married,Female,"Investment banker, operational",None,None
9,Turkey Gardens,Louis,Martin,33,Husband,Married,Male,Psychiatrist,None,None
10,Turkey Gardens,Zoe,Edwards,40,Head,Single,Female,Logistics and distribution manager,None,None
11,Turkey Gardens,Joanna,Ashton,19,Head,Single,Female,University Student,None,Methodist
11,Turkey Gardens,Damien,Bennett,19,None,Single,Male,University Student,None,Methodist
11,Turkey Gardens,Dominic,Fraser,19,None,Single,Male,University Student,None,Catholic
11,Turkey Gardens,Cameron,Ahmed,25,None,Single,Male,PhD Student,None,None
11,Turkey Gardens,Henry,Cooper,32,None,Single,Male,PhD Student,None,None
12,Turkey Gardens,Kerry,Scott,22,Head,Married,Female,University Student,None,Christian
12,Turkey Gardens,James,Scott,24,Husband,Married,Male,"Teacher, primary school",None,Christian
13,Turkey Gardens,Joe,James,67,Head,Married,Male,"Journalist, magazine",None,Christian
13,Turkey Gardens,Katy,James,63,Wife,Married,Female,Multimedia specialist,None,Christian
14,Turkey Gardens,Anna,Jackson,39,Head,Single,Female,Unemployed,None,Methodist
14,Turkey Gardens,Vanessa,Jackson,2,Daughter,NA,Female,Child,None,NA
14,Turkey Gardens,Pamela,Jackson,1,Daughter,NA,Female,Child,None,NA
14,Turkey Gardens,Martin,Perry,26,Lodger,Single,Male,Homeopath,None,None
15,Turkey Gardens,Victor,Kaur,52,Head,Single,Male,"Scientist, biomedical",None,None
15,Turkey Gardens,Terry,Kaur,24,Son,Single,Male,"Programmer, multimedia",None,None
15,Turkey Gardens,Danny,Coates-Kaur,23,Son,Single,Male,Textile designer,None,None
15,Turkey Gardens,Neil,Coates-Kaur,21,Son,Single,Male,University Student,None,None
15,Turkey Gardens,Barry,Coates-Kaur,20,Son,Single,Male,University Student,None,None
16,Turkey Gardens,Kathryn,Goodwin,71,Head,Widowed,Female,Retired Horticultural therapist,None,Christian
17,Turkey Gardens,Julian,Hughes,44,Head,Married,Male,"Designer, blown glass/stained glass",None,None
17,Turkey Gardens,Lesley,Hughes,43,Wife,Married,Female,Manufacturing systems engineer,None,None
18,Turkey Gardens,Kate,Thompson,26,Head,Married,Female,Product/process development scientist,None,None
18,Turkey Gardens,Dean,Thompson,27,Husband,Married,Male,Fine artist,None,None
18,Turkey Gardens,Graeme,Thompson,2,Son,NA,Male,Child,None,NA
19,Turkey Gardens,Mitchell,Adams,31,Head,Married,Male,Fashion designer,None,None
19,Turkey Gardens,Denise,Adams,27,Wife,Married,Female,"Engineer, energy",None,None
20,Turkey Gardens,Katie,Griffiths,44,Head,Single,Female,Unemployed,None,None
20,Turkey Gardens,Geoffrey,Griffiths,11,Son,NA,Male,Student,None,NA
21,Turkey Gardens,Philip,Bennett,78,Head,Divorced,Male,Retired Manufacturing engineer,None,Methodist
21,Turkey Gardens,Mark,Bennett,38,Son,Single,Male,Armed forces operational officer,None,Methodist
22,Turkey Gardens,Emily,Spencer,34,Head,Married,Female,Dramatherapist,None,None
22,Turkey Gardens,Thomas,Spencer,36,Husband,Married,Male,Printmaker,None,None
22,Turkey Gardens,Steven,Spencer,8,Son,NA,Male,Student,None,NA
22,Turkey Gardens,Kerry,Spencer,4,Daughter,NA,Female,Child,None,NA
23,Turkey Gardens,Harriet,Young,44,Head,Single,Female,Chiropractor,None,None
23,Turkey Gardens,Derek,Dobson,43,Partner,Single,Male,Adult guidance worker,None,None
